order_id,worker_id,estimated_profit
10492,58,47.8999
10492,110,47.90851
10492,149,46.73255
10492,411,47.59131
10492,475,46.77664
10492,770,46.79058
10492,772,46.71239
10492,813,46.62505
10492,935,46.47021
10492,976,45.552
10492,1057,44.60687
10492,1072,46.79669
10492,1096,45.93892
10492,1121,46.76806
10492,1279,46.76455
10492,1339,46.7779
10492,1493,45.82643
10492,1511,46.77551
10492,1534,44.45332
10492,1751,47.74008
10492,1886,47.88792
10492,2129,47.17336
10492,2253,46.77141
10492,2318,46.76374
10492,2353,46.70297
10492,2679,47.87982
10492,2971,47.88402
10492,3026,46.45865
10492,3036,45.50728
10492,3114,47.59843
10492,3121,47.88404
10492,3124,45.1111
10492,3363,46.74889
10492,3364,47.53758
10492,3562,47.86067
10492,3970,46.42329
10492,3986,46.83174
10492,4044,42.5931
10492,4244,48.09705
10492,1048,44.83671
20434,58,48.6034
20434,110,48.6191
20434,149,47.48665
20434,411,48.34948
20434,475,47.52277
20434,770,47.54065
20434,772,47.47206
20434,813,47.38534
20434,935,47.22319
20434,976,46.18189
20434,1057,45.23749
20434,1072,47.54832
20434,1096,46.70061
20434,1121,47.51425
20434,1279,47.50614
20434,1339,47.52072
20434,1493,46.46994
20434,1511,47.52504
20434,1534,45.09789
20434,1751,48.47752
20434,1886,48.57022
20434,2129,47.84536
20434,2253,47.51442
20434,2318,47.50914
20434,2353,47.46064
20434,2679,48.57479
20434,2971,48.58547
20434,3026,47.17254
20434,3036,46.19462
20434,3114,48.35639
20434,3121,48.56171
20434,3124,45.73478
20434,3363,47.49111
20434,3364,48.26673
20434,3562,48.54704
20434,3970,47.14082
20434,3986,47.59299
20434,4044,43.21808
20434,4244,48.76211
20434,1048,45.55085
58536,58,46.17393
58536,110,46.19946
58536,149,47.25319
58536,411,46.45346
58536,475,47.53239
58536,770,47.406
58536,772,46.94142
58536,813,46.85789
58536,935,47.20102
58536,976,43.7463
58536,1057,43.57761
58536,1072,47.35115
58536,1096,46.12706
58536,1121,47.53315
58536,1279,47.65146
58536,1339,47.61807
58536,1493,43.98579
58536,1511,47.4262
58536,1534,42.61372
58536,1751,46.23877
58536,1886,46.11068
58536,2129,45.41481
58536,2253,47.6176
58536,2318,47.5573
58536,2353,47.07205
58536,2679,46.13587
58536,2971,46.15702
58536,3026,46.98204
58536,3036,45.73041
58536,3114,46.44836
58536,3121,46.09685
58536,3124,43.77503
58536,3363,47.6488
58536,3364,46.08347
58536,3562,46.09751
58536,3970,47.03741
58536,3986,46.80508
58536,4044,41.4032
58536,4244,46.32797
58536,1048,45.59373
13922,58,47.71529
13922,110,47.7238
13922,149,46.56373
13922,411,47.4116
13922,475,46.61101
13922,770,46.6235
13922,772,46.54009
13922,813,46.45215
13922,935,46.30195
13922,976,45.382
13922,1057,44.4508
13922,1072,46.62897
13922,1096,45.7629
13922,1121,46.60242
13922,1279,46.60037
13922,1339,46.61335
13922,1493,45.65148
13922,1511,46.60864
13922,1534,44.27814
13922,1751,47.55623
13922,1886,47.70458
13922,2129,46.99218
13922,2253,46.6068
13922,2318,46.59836
13922,2353,46.53217
13922,2679,47.69558
13922,2971,47.69949
13922,3026,46.30074
13922,3036,45.3528
13922,3114,47.41861
13922,3121,47.70117
13922,3124,44.95221
13922,3363,46.58453
13922,3364,47.35309
13922,3562,47.67706
13922,3970,46.26476
13922,3986,46.65754
13922,4044,42.43498
13922,4244,47.93546
13922,1048,44.67889
26719,58,43.82639
26719,110,43.80531
26719,149,42.60893
26719,411,43.63085
26719,475,42.499
26719,770,42.57341
26719,772,42.79413
26719,813,42.77179
26719,935,42.36047
26719,976,44.00067
26719,1057,41.18773
26719,1072,42.60772
26719,1096,42.5633
26719,1121,42.49205
26719,1279,42.43133
26719,1339,42.45757
26719,1493,44.83299
26719,1511,42.55091
26719,1534,44.2424
26719,1751,43.82699
26719,1886,43.86498
26719,2129,44.58076
26719,2253,42.45397
26719,2318,42.47728
26719,2353,42.69487
26719,2679,43.85916
26719,2971,43.84485
26719,3026,41.96131
26719,3036,41.02967
26719,3114,43.63587
26719,3121,43.87176
26719,3124,42.08707
26719,3363,42.424
26719,3364,43.99989
26719,3562,43.88874
26719,3970,41.93688
26719,3986,43.00022
26719,4044,39.78055
26719,4244,43.58718
26719,1048,40.34384
58590,58,44.21323
58590,110,44.23872
58590,149,45.29923
58590,411,44.49105
58590,475,45.57454
58590,770,45.44917
58590,772,44.98624
58590,813,44.9042
58590,935,45.25992
58590,976,41.78996
58590,1057,41.63934
58590,1072,45.39438
58590,1096,44.17912
58590,1121,45.57603
58590,1279,45.68893
58590,1339,45.65641
58590,1493,42.02635
58590,1511,45.47005
58590,1534,40.65408
58590,1751,44.27696
58590,1886,44.15025
58590,2129,43.45341
58590,2253,45.65662
58590,2318,45.59995
58590,2353,45.11803
58590,2679,44.17519
58590,2971,44.19627
58590,3026,45.06184
58590,3036,43.81127
58590,3114,44.48597
58590,3121,44.1365
58590,3124,41.83045
58590,3363,45.68844
58590,3364,44.12114
58590,3562,44.13691
58590,3970,45.11957
58590,3986,44.84683
58590,4044,39.46323
58590,4244,44.36895
58590,1048,43.68344
3975,58,45.47533
3975,110,45.50116
3975,149,46.84826
3975,411,45.86859
3975,475,46.56407
3975,770,46.68799
3975,772,46.68623
3975,813,46.60667
3975,935,46.63754
3975,976,42.93586
3975,1057,42.40719
3975,1072,46.73887
3975,1096,45.84773
3975,1121,46.56552
3975,1279,46.43339
3975,1339,46.46823
3975,1493,43.28382
3975,1511,46.67208
3975,1534,41.93069
3975,1751,45.60739
3975,1886,45.40158
3975,2129,44.78944
3975,2253,46.47329
3975,2318,46.54164
3975,2353,46.82087
3975,2679,45.43806
3975,2971,45.46201
3975,3026,45.66725
3975,3036,44.41511
3975,3114,45.86118
3975,3121,45.38465
3975,3124,42.69864
3975,3363,46.44866
3975,3364,45.51313
3975,3562,45.39799
3975,3970,45.72247
3975,3986,46.51345
3975,4044,40.26241
3975,4244,45.54154
3975,1048,44.3608
36381,58,45.65301
36381,110,45.66871
36381,149,44.53626
36381,411,45.39909
36381,475,44.57238
36381,770,44.59026
36381,772,44.52167
36381,813,44.43495
36381,935,44.2728
36381,976,43.2315
36381,1057,42.2871
36381,1072,44.59793
36381,1096,43.75022
36381,1121,44.56386
36381,1279,44.55575
36381,1339,44.57033
36381,1493,43.51955
36381,1511,44.57465
36381,1534,42.1475
36381,1751,45.52713
36381,1886,45.61983
36381,2129,44.89497
36381,2253,44.56403
36381,2318,44.55875
