order_id,worker_id,service_time,t_p,t_d,t_w
38584,182,12.62676,0.1057,12.52106,0
38584,191,12.71438,0.19332,12.52106,0
38584,210,12.84278,0.32173,12.52106,0
38584,443,18.36874,5.84768,12.52106,0
38584,475,17.1786,4.65755,12.52106,0
38584,708,12.96079,0.43973,12.52106,0
38584,813,12.99983,0.47877,12.52106,0
38584,835,18.20313,5.68207,12.52106,0
38584,878,13.0146,0.49354,12.52106,0
38584,965,19.09996,6.57891,12.52106,0
38584,1125,14.37956,1.8585,12.52106,0
38584,1216,19.32945,6.8084,12.52106,0
38584,1219,22.58963,10.06857,12.52106,0
38584,1261,13.07568,0.55462,12.52106,0
38584,1348,12.73507,0.21402,12.52106,0
38584,1367,15.93601,3.41495,12.52106,0
38584,1628,13.20883,0.68777,12.52106,0
38584,1892,15.70546,3.1844,12.52106,0
38584,1991,18.24537,5.72431,12.52106,0
60925,149,13.48637,5.71149,7.77488,0
60925,182,13.67964,5.90477,7.77488,0
60925,191,13.59594,5.82106,7.77488,0
60925,210,13.64376,5.86888,7.77488,0
60925,443,12.31894,4.54407,7.77488,0
60925,475,12.66039,4.88552,7.77488,0
60925,708,13.57621,5.80133,7.77488,0
60925,813,13.62864,5.85376,7.77488,0
60925,835,10.12887,2.35399,7.77488,0
60925,878,13.50938,5.7345,7.77488,0
60925,965,8.59927,0.82439,7.77488,0
60925,1125,13.63173,5.85685,7.77488,0
60925,1216,10.07289,2.29801,7.77488,0
60925,1219,12.17846,4.40358,7.77488,0
60925,1261,13.59015,5.81527,7.77488,0
60925,1348,13.67849,5.90361,7.77488,0
60925,1367,13.81081,6.03593,7.77488,0
60925,1628,13.31999,5.54512,7.77488,0
60925,1892,12.6739,4.89902,7.77488,0
60925,1991,10.20197,2.42709,7.77488,0
57718,149,12.00481,5.71149,6.29332,0
57718,182,12.19809,5.90477,6.29332,0
57718,191,12.11439,5.82106,6.29332,0
57718,210,12.16221,5.86888,6.29332,0
57718,443,10.83739,4.54407,6.29332,0
57718,475,11.17884,4.88552,6.29332,0
57718,708,12.09465,5.80133,6.29332,0
57718,813,12.14709,5.85376,6.29332,0
57718,835,8.64732,2.35399,6.29332,0
57718,878,12.02783,5.7345,6.29332,0
57718,965,7.11772,0.82439,6.29332,0
57718,1125,12.15018,5.85685,6.29332,0
57718,1216,8.59134,2.29801,6.29332,0
57718,1219,10.69691,4.40358,6.29332,0
57718,1261,12.10859,5.81527,6.29332,0
57718,1348,12.19693,5.90361,6.29332,0
57718,1367,12.32925,6.03593,6.29332,0
57718,1628,11.83844,5.54512,6.29332,0
57718,1892,11.19234,4.89902,6.29332,0
57718,1991,8.72042,2.42709,6.29332,0
57704,149,16.88071,0.89937,15.98135,0
57704,182,16.50126,0.51992,15.98135,0
57704,191,16.56834,0.58699,15.98135,0
57704,210,16.29402,0.31267,15.98135,0
57704,443,22.22914,6.2478,15.98135,0
57704,475,21.05839,5.07704,15.98135,0
57704,708,16.85521,0.87386,15.98135,0
57704,813,16.89629,0.91495,15.98135,0
57704,835,21.97282,5.99148,15.98135,0
57704,878,16.90447,0.92313,15.98135,0
57704,965,22.76241,6.78106,15.98135,0
57704,1125,18.27318,2.29184,15.98135,0
57704,1216,23.07785,7.09651,15.98135,0
57704,1219,26.29406,10.31272,15.98135,0
57704,1261,16.97212,0.99077,15.98135,0
57704,1348,16.63063,0.64928,15.98135,0
