,estimated_profit
"(51407, 1873)",19.96851721774299
"(51407, 3159)",19.975670459422016
"(51407, 693)",19.97312718209581
"(51407, 92)",19.973128805527
"(51407, 4215)",19.974317135939913
"(51407, 770)",19.97323805075152
"(51407, 2192)",19.974317187832177
"(51407, 149)",19.974019846403717
"(51407, 1534)",19.97555217326551
"(51407, 732)",19.974098838177696
"(51407, 3503)",19.9741263596205
"(51407, 1486)",19.97271149689873
"(51407, 2956)",19.97559355278352
"(51407, 2270)",19.973408298328412
"(35355, 1873)",19.969510384181447
"(35355, 3159)",19.986947946051266
"(35355, 693)",19.988744444442123
"(35355, 92)",19.987339550002883
"(35355, 4215)",19.98948259193298
"(35355, 770)",19.98875185039867
"(35355, 2192)",19.989473153910325
"(35355, 149)",19.989889685126784
"(35355, 1534)",19.98692950648166
"(35355, 732)",19.989836179823502
"(35355, 3503)",19.989766033617787
"(35355, 1486)",19.988215024926273
"(35355, 2956)",19.987316076365175
"(35355, 2270)",19.989153094679978
"(9787, 1873)",19.965807591590313
"(9787, 3159)",19.983245153460135
"(9787, 693)",19.985041651850988
"(9787, 92)",19.983636757411748
"(9787, 4215)",19.985779799341845
"(9787, 770)",19.98504905780754
"(9787, 2192)",19.98577036131919
"(9787, 149)",19.98618689253565
"(9787, 1534)",19.983226713890524
"(9787, 732)",19.986133387232368
"(9787, 3503)",19.986063241026653
"(9787, 1486)",19.98451223233514
"(9787, 2956)",19.98361328377404
"(9787, 2270)",19.985450302088843
"(41827, 1873)",19.97259078444435
"(41827, 3159)",19.99002834631417
"(41827, 693)",19.99182484470502
"(41827, 92)",19.990419950265782
"(41827, 4215)",19.992562992195882
"(41827, 770)",19.991832250661574
"(41827, 2192)",19.992553554173227
"(41827, 149)",19.992970085389686
"(41827, 1534)",19.990009906744557
"(41827, 732)",19.992916580086405
"(41827, 3503)",19.99284643388069
"(41827, 1486)",19.991295425189175
"(41827, 2956)",19.990396476628074
"(41827, 2270)",19.992233494942877
"(41832, 1873)",19.971896098291168
"(41832, 3159)",19.989333660160987
"(41832, 693)",19.99113015855184
"(41832, 92)",19.9897252641126
"(41832, 4215)",19.9918683060427
"(41832, 770)",19.991137564508392
"(41832, 2192)",19.991858868020046
"(41832, 149)",19.992275399236505
"(41832, 1534)",19.98931522059138
"(41832, 732)",19.992221893933223
"(41832, 3503)",19.992151747727508
"(41832, 1486)",19.990600739035994
"(41832, 2956)",19.989701790474896
"(41832, 2270)",19.991538808789695
"(29016, 1873)",19.969095523242537
"(29016, 3159)",19.986533085112356
"(29016, 693)",19.98832958350321
"(29016, 92)",19.98692468906397
"(29016, 4215)",19.98906773099407
"(29016, 770)",19.98833698945976
"(29016, 2192)",19.989058292971414
"(29016, 149)",19.989474824187873
"(29016, 1534)",19.986514645542744
"(29016, 732)",19.98942131888459
"(29016, 3503)",19.989351172678877
"(29016, 1486)",19.987800163987362
"(29016, 2956)",19.98690121542626
"(29016, 2270)",19.988738233741064
"(45143, 1873)",19.973156913825182
"(45143, 3159)",19.990594475695005
"(45143, 693)",19.992390974085858
"(45143, 92)",19.990986079646618
"(45143, 4215)",19.993129121576718
"(45143, 770)",19.99239838004241
"(45143, 2192)",19.99311968355406
"(45143, 149)",19.99353621477052
"(45143, 1534)",19.990576036125393
"(45143, 732)",19.993482709467237
"(45143, 3503)",19.993412563261522
"(45143, 1486)",19.99186155457001
"(45143, 2956)",19.99096260600891
"(45143, 2270)",19.992799624323712
"(162, 1873)",19.963994560463256
"(162, 3159)",19.98143212233308
"(162, 693)",19.98322862072393
"(162, 92)",19.98182372628469
"(162, 4215)",19.98396676821479
"(162, 770)",19.983236026680483
"(162, 2192)",19.983957330192133
"(162, 149)",19.984373861408592
"(162, 1534)",19.981413682763467
"(162, 732)",19.98432035610531
"(162, 3503)",19.984250209899596
"(162, 1486)",19.98269920120808
"(162, 2956)",19.981800252646984
"(162, 2270)",19.983637270961786
"(26009, 1873)",19.970327587276298
"(26009, 3159)",19.987765149146117
"(26009, 693)",19.98956164753697
"(26009, 92)",19.98815675309773
"(26009, 4215)",19.99029979502783
"(26009, 770)",19.989569053493522
"(26009, 2192)",19.990290357005176
"(26009, 149)",19.990706888221634
"(26009, 1534)",19.98774670957651
"(26009, 732)",19.990653382918353
"(26009, 3503)",19.990583236712638
"(26009, 1486)",19.989032228021124
"(26009, 2956)",19.988133279460026
"(26009, 2270)",19.989970297774825
"(61078, 1873)",19.977812905694826
"(61078, 3159)",19.99525046756465
"(61078, 693)",19.9970469659555
"(61078, 92)",19.99564207151626
"(61078, 4215)",19.99778511344636
"(61078, 770)",19.997054371912053
"(61078, 2192)",19.997775675423703
"(61078, 149)",19.998192206640162
"(61078, 1534)",19.995232027995037
"(61078, 732)",19.99813870133688
"(61078, 3503)",19.998068555131166
"(61078, 1486)",19.99651754643965
"(61078, 2956)",19.995618597878554
"(61078, 2270)",19.997455616193356
"(48505, 1873)",19.96454344328081
"(48505, 3159)",19.98198100515063
"(48505, 693)",19.983777503541486
"(48505, 92)",19.982372609102246
"(48505, 4215)",19.984515651032343
"(48505, 770)",19.983784909498034
"(48505, 2192)",19.984506213009688
"(48505, 149)",19.984922744226147
"(48505, 1534)",19.98196256558102
"(48505, 732)",19.984869238922865
"(48505, 3503)",19.98479909271715
"(48505, 1486)",19.983248084025636
"(48505, 2956)",19.98234913546454
"(48505, 2270)",19.98418615377934
"(48524, 1873)",19.976117895616984
"(48524, 3159)",19.993555457486803
"(48524, 693)",19.995351955877656
"(48524, 92)",19.993947061438416
"(48524, 4215)",19.996090103368516
"(48524, 770)",19.995359361834208
"(48524, 2192)",19.99608066534586
"(48524, 149)",19.996497196562316
"(48524, 1534)",19.99353701791719
"(48524, 732)",19.99644369125904
"(48524, 3503)",19.996373545053324
"(48524, 1486)",19.99482253636181
"(48524, 2956)",19.993923587800708
"(48524, 2270)",19.99576060611551
"(13200, 1873)",19.975003454701287
"(13200, 3159)",19.992441016571107
"(13200, 693)",19.99423751496196
"(13200, 92)",19.99283262052272
"(13200, 4215)",19.99497566245282
"(13200, 770)",19.99424492091851
"(13200, 2192)",19.994966224430165
"(13200, 149)",19.995382755646624
"(13200, 1534)",19.992422577001495
"(13200, 732)",19.995329250343342
"(13200, 3503)",19.995259104137627
"(13200, 1486)",19.993708095446113
"(13200, 2956)",19.992809146885012
"(13200, 2270)",19.994646165199814
"(57982, 1873)",19.9751549249624
"(57982, 3159)",19.99259248683222
"(57982, 693)",19.994388985223075
"(57982, 92)",19.992984090783835
"(57982, 4215)",19.995127132713932
"(57982, 770)",19.994396391179624
"(57982, 2192)",19.995117694691277
"(57982, 149)",19.995534225907736
"(57982, 1534)",19.99257404726261
"(57982, 732)",19.995480720604455
"(57982, 3503)",19.99541057439874
"(57982, 1486)",19.993859565707226
"(57982, 2956)",19.992960617146128
"(57982, 2270)",19.99479763546093
